="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="count",="mean",="sd",="min",="max"
="rassageb: age r start rec. socsec",="8049",="63.59282",="1.677758",="62",="70"
="Age at interview",="8049",="68.91962",="3.947263",="62",="91"
="Female",="8049",=".5362157",=".4987177",="0",="1"
="Black",="8042",=".1459836",=".3531117",="0",="1"
="Hispanic",="8045",=".1013052",=".3017511",="0",="1"
="Education: College+",="8047",=".2405866",=".4274662",="0",="1"
="Currently married/partnered",="8048",=".7034046",=".456785",="0",="1"
="shlt",="8043",="2.715405",="1.003201",="1",="5"
="Fair/poor self-rated health",="8043",=".2153425",=".4110853",="0",="1"
="Number of health conditions",="8049",="2.102",="1.345565",="0",="8"
="Subjective P(survive to 75)",="995",="64.66935",="26.89865",="0",="100"
="hh_income",="8049",="70255.05",="149753.6",="0",="5275203"
="hh_assets",="8049",="618853",="1317423",="-769100",="3.71e+07"
="life_sat",="8049",="4.95674",="1.405229",="1",="7"
="fin_strain",="5588",="1.569256",=".8637436",="1",="4"
="Observations",="8049",="",="",="",=""
